text,date,sentiment
"ano ba yan?! kaya mong bilangin umattend sa clachella HAHHAHAHAHAHAHA gulat kami ang konti, nanghihinayang kami sa spaces 
sana nag mth court nalang kayo or tapat ng chapel HAHAHHAHAHAHA",4/13/24,
hi po sa nakablack shirt green cargo pants may black na handkerchief sa backpocket na nakabandana na sumayaw kanina sa clachella ?? nakaglue po mata ko sa iyo kanina when the avians performed hehe #ILoveCLAC,4/14/24,
Shout out sa dalawang lalake during CLACHELLA na sumisingit sa barricade. Nakita na nauna na kami tapos may kinuha lang saglit wala pang 1 minute sumingit agad. Jusq college pa naman kayo tas wala man lang concert etiquette. Grow tf up mga immature college beaxhes. Parehas naka dlsud tote bag. Yk who you are,4/15/24,
CLAChella was so fun despite yung ulan na nangyari ?? super fun talaga ng over october panoorin tsaka yung DJ at the end of the night super solid lahat talaga ng naiwan ay sumasayaw,4/16/24,
"Clachella makes me cry, my tics are wasted ??????
-CEAT student who prefers clachella",4/17/24,
clachella ano yun?,4/18/24,
LF ka-date sa CLAChella,4/19/24,
"panget lineup ng clachella mga hindi kilala 
sana sa susunod kahit 1 na sikat lang okay na",4/20/24,
"Single ba yung guy na part ng media team sa clachella? Nakasuot ng dark green polo plus, may suot din siya ng glasses. isa ka po sa tinitignan ko kahapon bukod sa artists",4/21/24,
"so what did I get from CLAChella?
Fever.",4/22/24,
"hello po, may pics po ba nubg CLAChella? huhu want ko po makitaaa",4/23/24,
"Hello, I hope you'll get an answer! I want to buy a ticket but who will be the first performers in Clachella ????",4/24/24,
Open pa po ba yung ticket selling ng clachella For dlsud student and outsider po huhu? If open pa po saan po pwede bumili.,4/25/24,
"hi peeps! if may nakita kayong USC (trojans) cap na dark blue and red yung letters, please comment on this post huhu. I lost it kahapon sa CLACHELLA",4/26/24,
YUNG INHALER KO PO NAWALA NUNG CLACHELLA BAKA NAKITA NIYO PLS,4/27/24,
"Ang cute nung mga kasama ni ateng naka contact lense, brown hair, may back stage pass noong reverie pero yung isa may nakabakod na yata kasama din nilang may backstage pass",4/28/24,
GUYS BUMILI NA KAYO TIXXX AND WE KINDLY ENCOURAGE PO EVERYONE TO PARTICIPATE SA MGA FUN ACTIVITIES NG REVERIE SA NOVEMBER 11!!!,4/29/24,
"To ALL the photographers during the students week, specifically during Reverie and CLAChella:
Bakit po hindi lahat ng pictures yung officially inuupload sa FB? And kung maari po ba na maippost nyo po yung ibang pictures since gusto rin po namin makita yung mga pictures na baka nahaligap kami? If oo, pwede nyo nalang po i-comment para naka-compile po siya, pero if not, then bakit po? ?? eme lang! it's okay po, thank you pa rin po! 
Thank you so much po for understanding!!",4/30/24,
PLS PO IEXTEND NYO TICKET SELLING NG REVERIE PARANG AWA,5/1/24,
"i know pushing is expected at gigs, pero pls still be mindful of the people around you ?? hi po sa isang cof nung reverie, you guys were pushing people around ??? ang laki laki niyo po tapos natatamaan niyo kami. tsaka u guys went to the front sabay-sabay and didn’t take no for an answer",5/2/24,
"Hello poo, Sana ma post! Hinahanap ko lang po yung the one ko, eme hello po kay kuya na nakita ko during chromablast. Jeffrey ata pangalan niya kasi yun yung sinigaw ng friend nya after mag perform ni zild tas umalis agad sila. Not sure if outsider or what pero kung taga UD ka po paramdam kana man teh, love at first sight na ata to...",5/3/24,
"PWEDE PO BA MAGBENTA NG CHROMA BLAST TICKET
pag pwede bilin nio n ung saken 350 nlng sayang ??",5/4/24,
"Grabe chroma blast, superb at parang wala kaming ginawa kundi tumawa like its sigawan na may onting concert",5/5/24,
Ang solid ni zild!! Super enjoy kami sa Chroma Blast!! Solid din kayo CEATSG!,5/6/24,
lf mag-aampon po sakin sa chroma blast pls ???? wala akong kasama huhu none of my friends r going,5/7/24,
"Can I buy chroma blast ticket for outsider po?
Kung walang available sa Koleidescope, and also I'm turning 18 next year hindi talaga pwede na bumili ako as an outsider???",5/8/24,
hi po sa member ng ceat stallions na nakablack polo nung chroma blast! please me please me niyanig mo buhay ko,5/9/24,
Healing my inner child sa chroma blast,5/10/24,
hellooo! baka may pupunta sa chroma blast na taga sunrise/around parklane na pwede masabayan pag uwi para safe since late na sa gabi yun matatapos. i wanna feel safe sa byahe since wala akong kasabay :((,5/11/24,
SEAN ARCHER YOU'VE BEEN ON MY MIND SINCE THE CHROMABLAST,5/12/24,
